"http://www.appannie.com/apps/ios/top/japan/education/?device=iphone"
FREE
#,title,publisher
0,ターゲットの友　英単語選手権で全国ランキングを競い合おう！,"Obunsha Co.,Ltd."
1,Canary〜ビデオレター英会話アプリ「カナリー」！好きな先生といっしょに英語を学ぼう〜,KAYAC Inc.
2,Moving books jajajajan（Japanese language version）,"FORii, lnc."
3,続く英語学習 えいぽんたん！,"Drecom Co., Ltd."
4,ラーニングドラゴン 英単語3300 - 大学受験・センター試験・TOEICテストの勉強に最適な、単語帳や単語カードとしても使える、ゲーム感覚の英語学習アプリ！DL無料,Studyplus Inc.
5,GhostCall,MediaActive Inc.
6,無料知育ゲームアプリ｜なりきり!!ごっこランド,KidsStar Inc.
7,Studyplus - Learning SNS,Studyplus Inc.
8,English Lessons for Japanese,Yuko Kubota
9,GhostCallDX,MediaActive Inc.
10,Duolingo - Learn Languages for Free,Duolingo
11,ListeningDrill-Free : Foreign Languages Listening Practice Player - TED/Audiobooks/Audio/Video/Movie/MP3/Subtitles/AB Repeat/Vocabulary(Word)/Dictionary,Neointro
12,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION
13,Star Chart,Feel Great Publishing Limited
14,さがして！なぞって！アンパンマン　,Forecast Communications Inc.
15,究極英単語,Yibei Inc
16,しまじろう園,Benesse Corporation
17,Japanese English Dictionary Free 英和辞典,Bravolol Limited
18,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD."
19,iTunes U,Apple
20,漢字検定・漢検漢字トレーニング,Gakko Net Inc.
21,TOEIC重要英単語,HuMinghua
22,TED,TED Conferences
23,無料1200問！日本史1問1答,HANAUTA INC.
24,無料1000問！普通免許問題集,HANAUTA INC.
25,Handy Timetable,IN SIK KANG
26,"Clear-Notebooks organizing and sharing app for students-Search for shared public notebooks with solutions for work books, exercise books, prep books in social learning app","arcterus Co., Ltd."
27,TOEIC presents English Upgrader,The Institute for International Business Communication
28,中学生・高校生で習う勉強を動画で学べて、無料でライブ授業を学習できる「スマホ学習塾アオイゼミ」,Aoi.co
29,受験サプリ,"Recruit Holdings Co.,Ltd."
30,英語力UP 英単8000語,mychjp.com
31,Stylish School Timetable - This app is for students to enjoy decorating school timetable,Fineseed
32,Jottable Flash Cards Free,Satoshi Horiguchi
33,無料1500問！世界史1問1答,HANAUTA INC.
34,しまじろうTV,Benesse Corporation
35,Children's Books Library in the Forest,I-FREEK INC.
36,Sago Mini Ocean Swimmer,Sago Sago
37,Chick Land,"PICxPIC, Inc."
38,"AVDic Player ( ALL-IN-1 Language Learning.. with.. subtitles/txt/pdf reader, mp3/movies/music player, ted talks, vocabulary, free ted live music download, english dictionary & translator for spanish,french,chinese, etc. Learn english ! )",mCoCoon
39,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION
40,Mr.shape's TouchCard,KOO-KI
41,OKpanda英会話,OKpanda Inc.
42,Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD."
43,"English Radio - IELTS TOEFL TOEIC IBT Speaking & Listening, Make friends to Teach & Learn Foreign Languages",Liang Yuan
44,Japanese Kanji Hiragana,SG GAME
45,適職・適学チェック,Benesse Corporation
46,しまじろうと　やってみよう！,Benesse Corporation
47,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD."
48,おやこでいっしょに！　まねっこえいご,Benesse Corporation
49,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD."
50,英単語で世界周遊 グルタン - 海外旅行気分で英語・英単語学習！中学高校レベルから上級者レベルまで幅広く対応,"Drecom Co., Ltd."
51,ninja math for 1st graders,Fantamstick
52,無料3才からの知育パズル｜能力向上に役立つパズル＆テイルズ,KidsStar Inc.
53,英語・英会話一日一言,image corp.
54,Speed Mental Calc,jp.20y
55,"Learn ABC - VOA,PBS update everyday",learnabc.com.au
56,ListenUp - The English Challenge,Reallyenglish
57,Gocco Fire Truck - 3D Games for Tiny Firefighters,"SMART EDUCATION, LTD."
58,Bear Paint,jokijoki.com
59,Touch and Move! Service Vehicles (for young children) - Educational Apps Free,Atech inc.
60,Angles? - Let's solve figures problems!,Gakko Net Inc.
61,読めないと恥ずかしい大人の常識漢字1000,Gakko Net Inc.
62,無料で学べる~韓国語~ハングル바보(k-pop、東方神起、少女時代、ビックバン、カラなど好きな韓流の歌を聴こう！ツイッタ、フェイスブック、ライン、カカオトークに投稿し友達も作ろう),jungwooram
63,zuknow,"BizReach, Inc."
64,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
65,1万2千語　英単語・えいたん,Tosymsoft
66,TOEICの最頻出語 2000語,mychjp.com
67,英単語パズル キクタンFree(アルク),"ALC PRESS, INC."
68,スマホ留学 ～１日５分でTOEIC900点奪取！フレーズと英単語強化で英会話とリスニングアップ,Yuki Yokoyama
69,英検過去問チェック,Eiken Foundation of Japan
70,本気！私の英単語 大学受験編 - 受験英語対策に最適な無料単語帳,ysakaki
71,SchoolManager+,Shingo Hiraya
72,無料300問！原付免許問題集,HANAUTA INC.
73,数学公式集,Murasaki Development
74,古文いとをかし - 受験勉強に最適です。,Toshihiko Arai
75,Animal Orchestra,"PICxPIC, Inc."
76,"HelloTalk Language Exchange App - Learn English, Chinese Mandarin, Japanese, Korean, Spanish Free. Talk Translator with grammar & vocab phrase book",LAP WA NGAI
77,Japanese Lyrics Karaoke,YUTARO KOBAYASHI
78,Rhythm Tap,"SMART EDUCATION, LTD."
79,Rhythmehon,"SMART EDUCATION, LTD."
80,新・英単語センター1800,株式会社ナガセ
81,将棋の戦法,Tatsuyoshi Noma
82,Car Toys : Free App for Children and Toddlers,monois Inc.
83,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD."
84,Weblio Viewer,Homuerio
85,Talk!Talk! Korean Word Book-Basic,Soyoun Park
86,虫食い漢字クイズ300 - はんぷく学習シリーズ,Gakko Net Inc.
87,小学生手書き漢字ドリル1006 - はんぷく学習シリーズ,Gakko Net Inc.
88,AnkiSnap,"Pentel Co.,Ltd."
89,Doodle Rainbow,"PICxPIC, Inc."
90,教科書トレーニング数学,株式会社ジャパン・アド・クリエイターズ
91,古文単語・古文常識・文学史 【Lite】 - センター試験・受験対応 -,JAT LLP
92,教科書トレーニング理科,株式会社ジャパン・アド・クリエイターズ
93,ExamTimer@209crc,209crc
94,英検予想問題ドリル,iEdu Apps
95,Chess - Learn Chess,Tom Kerrigan
