"http://www.appannie.com/apps/google-play/top/japan/application/education/"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher,new_free_title,new_free_publisher
1,Ghost Call DX,media-active,英単語ターゲット1900 | 英単語/英熟語の学習&大学受験,BIGLOBE Inc.,リズムあそび 幼児向けのアプリ 無料,"SMARTEDUCATION,LTD",タップあそび　赤ちゃん幼児子供向けの知育アプリ　リズムゲーム,"SMARTEDUCATION,LTD"
2,鬼から電話,media-active,TOEIC®テスト文法640問1,株式会社LATIKA,Read Unlimitedly! Kids'n Books,"SMARTEDUCATION,LTD",Moon Explorer,BabyBus
3,さがして！なぞって！アンパンマン,Forecast Communications Inc.,第二種電気工事士　過去問題集（一般）,appsoft,iKnow!,Cerego Japan Inc.,ケアマネジャー試験ワークブック2014,Fasteps
4,漢字検定・漢検漢字トレーニング（無料版）,学校ネット株式会社,Toca Hair Salon 2,Toca Boca AB,語学プレーヤー〈NHK出版〉,"NHK Publishing,Inc.",速読訓練 for android,redbox
5,"All国語辞書, Japanese ⇔ Japanese",COHARTS,SmartStellar,AstroArts Inc.,チャギントン リズムえほんDX  子供向けの音楽ゲームアプリ,"SMARTEDUCATION,LTD",完全無料！秘書検定２級問題集 秘書検定２級の過去問題,SupplyContents
6,勉強のやる気が出るStudyplus 大学・資格受験対策,Studyplus[学習アプリがDL無料！大学受験・TOEIC・資格試験対策の勉強が楽しく継続],お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.,リズムプラス 幼児子供向けのアプリ チャギントンと音楽遊び,"SMARTEDUCATION,LTD",ロジカル記憶 漢文 句形/句法 大学受験国語 文法学習アプリ,MOSHIMO STUDIO
7,しまじろうと　やってみよう！,Benesse Corporation,第二種電気工事士　過去問題集（配線図）,appsoft,絵本読み放題の教育・知育アプリ「森のえほん館」無料お試しつき,KidsStar Inc.,ケアマネジャー試験一問一答＋模擬問題2014,Fasteps
8,しまじろう園,Benesse Corporation,TOEIC®テストリスニング360問,株式会社LATIKA,さがして！なぞって！アンパンマン,Forecast Communications Inc.,解説付き  第９８回薬剤師国家試験,pharmafield
9,スマホの説明書　～メールから節電方法まで使い方を完全解説！～,Libra co.,Make a Cookie House!,KidsStar Inc.,ケアマネジャー試験一問一答＋模擬問題2014,Fasteps,がんばれ！ルルロロ マジカルサウンドカード,Baby.Planet
10,EnglishUpgrader,一般財団法人 国際ビジネスコミュニケーション協会,パブロフ簿記３級,"willsi Co., Ltd.",リズムタップ 赤ちゃん幼児子供向けのアプリ知育音楽ゲーム遊び,"SMARTEDUCATION,LTD",【悪用厳禁】外見で見抜く心理学,sweetdoctor
11,TOEIC対策に効果的！英語リスニングナビ,PARISIENNE,Let's do pretend Icecream shop,KidsStar Inc.,Ghost Call DX,media-active,Math Animations,Dong Xicheng
12,【続く英単語学習！】エクタン ～エクストリーム英単語～,継続できる秘密満載！毎日問題が追加される英単語アプリ！エクタン先生ファン急増中！？,영어회화의 공식 - BeNative 영어회화,SMATOOS,リズム絵本 赤ちゃん幼児子供向けのアプリリズム遊びゲーム無料,"SMARTEDUCATION,LTD",TED Me,MEsoft
13,Learn English 6000 Words,Fun Easy Learn,新TOEICテスト英単語ターゲット3000★英会話学習,BIGLOBE Inc.,タップ+ 赤ちゃん幼児子供向けのアプリリズムタッチゲーム無料,"SMARTEDUCATION,LTD",大人の雑学！ウソ？ホント？,sweetdoctor
14,小学生手書き漢字ドリル1006 - はんぷく学習シリーズ,学校ネット株式会社,1分間英会話360　完全版,kokoro cinderella inc.,続く英語学習 えいぽんたん！ あなたのレベルで学べる英単語,株式会社ドリコム,完全無料！調理師試験過去問題　〜調理師問題トレーニング〜,SupplyContents
15,時間割 for Android,sorw.net,ライブ英会話,Waterbear Soft inc.,Read & Play Kids Stories Songs,"FORii, Inc.",教科書AR,東京書籍株式会社
16,無料500問！どこでもTOEIC（トーイック）,PARISIENNE,TOEIC®テスト文法640問2,株式会社LATIKA,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION,English Vocabulary,Transdental
17,リズムあそび 幼児向けのアプリ 無料,"SMARTEDUCATION,LTD",SPI非言語 【Study Pro】,Study Pro,英単語ターゲット1900 | 英単語/英熟語の学習&大学受験,BIGLOBE Inc.,世の中の不思議な法則,sweetdoctor
18,Star Chart,Escapist Games Limited,SPI言語 【Study Pro】,Study Pro,ケアマネジャー試験ワークブック2014,Fasteps,i 模試 エクセル 入門編（無料版）,Zeata Corp.
19,TED,TED Conferences,Star Walk - Astronomy Guide,Vito Technology,【続く英単語学習！】エクタン ～エクストリーム英単語～,継続できる秘密満載！毎日問題が追加される英単語アプリ！エクタン先生ファン急増中！？,How to Draw Cartoons - Frozen,Kubik White
