"http://www.appannie.com/apps/ios/top/japan/education/?device=iphone"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher
1,ターゲットの友　英単語選手権で全国ランキングを競い合おう！,"Obunsha Co.,Ltd.",本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,appArray Inc.,続く英語学習 えいぽんたん！,"Drecom Co., Ltd."
2,Canary〜ビデオレター英会話アプリ「カナリー」！好きな先生といっしょに英語を学ぼう〜,KAYAC Inc.,キクタン 【Advanced】 6000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC.",語学プレーヤー〈NHK出版〉,NHK Publishing
3,Moving books jajajajan（Japanese language version）,"FORii, lnc.",キクタン  【Basic】  4000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC.",キクタン 【Advanced】 6000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
4,続く英語学習 えいぽんたん！,"Drecom Co., Ltd.",Real英会話,"LT Box Co., Ltd.",「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD."
5,ラーニングドラゴン 英単語3300 - 大学受験・センター試験・TOEICテストの勉強に最適な、単語帳や単語カードとしても使える、ゲーム感覚の英語学習アプリ！DL無料,Studyplus Inc.,キクタン 【Super】 12000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC.",キクタン  【Basic】  4000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
6,GhostCall,MediaActive Inc.,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.,Children's Books Library in the Forest,I-FREEK INC.
7,無料知育ゲームアプリ｜なりきり!!ごっこランド,KidsStar Inc.,Star Walk™ - 5 Stars Astronomy Guide,Vito Technology Inc.,Real英会話,"LT Box Co., Ltd."
8,Studyplus - Learning SNS,Studyplus Inc.,電工二種,AppSoft,iKnow!,Cerego
9,English Lessons for Japanese,Yuko Kubota,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.,Choujimaku,SOURCENEXT CORPORATION
10,GhostCallDX,MediaActive Inc.,すぐに話せる英会話233～リスニング編～【添削機能つき】,PLAYSQUARE INC.,Moving books jajajajan（Japanese language version）,"FORii, lnc."
11,Duolingo - Learn Languages for Free,Duolingo,英語組み立てTOWN,Cocone,キクタン 【Super】 12000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
12,ListeningDrill-Free : Foreign Languages Listening Practice Player - TED/Audiobooks/Audio/Video/Movie/MP3/Subtitles/AB Repeat/Vocabulary(Word)/Dictionary,Neointro,キクタンTOEIC(R) Test Score 600 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC.",本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,appArray Inc.
13,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD."
14,Star Chart,Feel Great Publishing Limited,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.,ケアマネジャー試験一問一答＋模擬問題2014,"Fasteps Co., Ltd."
15,さがして！なぞって！アンパンマン　,Forecast Communications Inc.,Toca Hair Salon 2,Toca Boca AB,ラーニングドラゴン 英単語3300 - 大学受験・センター試験・TOEICテストの勉強に最適な、単語帳や単語カードとしても使える、ゲーム感覚の英語学習アプリ！DL無料,Studyplus Inc.
16,究極英単語,Yibei Inc,電二配線,AppSoft,英単語ターゲット1900（5訂版）,物書堂
17,しまじろう園,Benesse Corporation,TOEIC®テストリスニング360問,"LATIKA, Inc.",すぐに話せる英会話233～リスニング編～【添削機能つき】,PLAYSQUARE INC.
18,Japanese English Dictionary Free 英和辞典,Bravolol Limited,TOEIC®テスト文法640問1,"LATIKA, Inc.",タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION
19,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD.",英単語ターゲット1900（5訂版）,物書堂,Star Walk™ - 5 Stars Astronomy Guide,Vito Technology Inc.
20,iTunes U,Apple,キクタンTOEIC(R) Test Score 800 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC.",さがして！なぞって！アンパンマン　,Forecast Communications Inc.
21,漢字検定・漢検漢字トレーニング,Gakko Net Inc.,TEDICT - Learn English with TED,CoCO SWING,TAC出版 中小企業診断士 2014年度版 スピード問題集,"Fasteps Co., Ltd."
22,TOEIC重要英単語,HuMinghua,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD."
23,TED,TED Conferences,SPI非言語 【Study Pro】,Study Pro,"Read with Biff, Chip & Kipper: Library",Gazoob
24,無料1200問！日本史1問1答,HANAUTA INC.,キクタンTOEIC(R) Test Score 990 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC.",Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.
25,無料1000問！普通免許問題集,HANAUTA INC.,英語聞き取り王国,Cocone,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD."
26,Handy Timetable,IN SIK KANG,えいご聞き耳上手,"CAI MEDIA CO.,LTD.",Voice4u JP 会話支援アプリ (日本語版),Spectrum Visions
27,"Clear-Notebooks organizing and sharing app for students-Search for shared public notebooks with solutions for work books, exercise books, prep books in social learning app","arcterus Co., Ltd.",第二種電気工事士　筆記試験対策　一問一答問題集,Hiroko Aizawa,ＭＲ問題集,"NIHON IYAKU ACADEMY, K.K."
28,TOEIC presents English Upgrader,The Institute for International Business Communication,TOEIC®テスト文法640問2,"LATIKA, Inc.",CNN ENGLISH EXPRESS,"Asahipress Co., Ltd."
